canonical_name,aliases,loinc_code,unit_canonical,unit_variants,sex,age_min_years,age_max_years,normal_low,normal_high,plausible_min,plausible_max,plain_what,plain_low,plain_high,source
HbA1c,,,%,,any,18,120,4,5.6,3,20,Your average blood sugar over the last 3 months.,Sugar may be running low — worth discussing with the doctor.,Sugar has been high over months. This is the main number doctors track for diabetes.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Fasting Blood Sugar,,,mg/dl,mg/dl.|mgdl,any,18,120,70,100,20,700,Blood sugar measured on an empty stomach.,Sugar dropped low — can cause dizziness or weakness.,Sugar is high on an empty stomach — a common early sign of diabetes.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Post Prandial Blood Sugar,,,mg/dl,mgdl,any,18,120,70,140,20,800,Blood sugar about 2 hours after eating.,Sugar dropped low after eating.,Sugar stays high after meals.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Random Blood Sugar,,,mg/dl,mgdl,any,18,120,70,140,20,800,Blood sugar at a random time.,Sugar is low.,Sugar is high.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Hemoglobin,,,g/dl,gm/dl|g/dl.|gdl,any,18,120,12,17,2,25,The part of blood that carries oxygen around your body.,"Low hemoglobin (anaemia) — often causes tiredness, weakness and pale skin. Very common, usually treatable with diet or iron.",Higher than usual — the doctor may want to check why.,IM Smrti v1 (adult generic - NEEDS REVIEW)
WBC Count,,,/µl,/ul|cells/µl|cells/ul|/cumm|cells/cumm,any,18,120,4000,11000,100,100000,White blood cells — your body's defence against infection.,Lower defence cells than usual.,Often rises when the body is fighting an infection.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Platelet Count,,,/µl,/ul|/cumm|lakh/cumm,any,18,120,150000,450000,1000,2000000,Cells that help blood clot and stop bleeding.,Low platelets — bleeding or bruising can happen more easily. Doctors watch this closely in dengue.,Higher than usual.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Total Cholesterol,,,mg/dl,mgdl,any,18,120,,200,50,600,Total fat circulating in your blood.,,High cholesterol raises the long-term risk to the heart.,IM Smrti v1 (adult generic - NEEDS REVIEW)
LDL,,,mg/dl,mgdl,any,18,120,,100,5,400,The 'bad' cholesterol that can block arteries.,,"High bad cholesterol — diet, exercise or medicine may be advised.",IM Smrti v1 (adult generic - NEEDS REVIEW)
HDL,,,mg/dl,mgdl,any,18,120,40,,5,150,The 'good' cholesterol that protects the heart.,Low protective cholesterol — exercise usually helps raise it.,,IM Smrti v1 (adult generic - NEEDS REVIEW)
Triglycerides,,,mg/dl,mgdl,any,18,120,,150,10,2000,"Another type of fat in the blood, linked to diet and sugar.",,"High — often improves with less sugar, less fried food and more activity.",IM Smrti v1 (adult generic - NEEDS REVIEW)
Creatinine,,,mg/dl,mgdl,any,18,120,0.6,1.3,0.1,20,A waste product your kidneys filter out — it shows how kidneys are working.,"Lower than usual, generally not a concern.",Raised creatinine can mean the kidneys are under strain. Worth asking the doctor about.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Urea,,,mg/dl,mgdl,any,18,120,15,40,2,300,Another kidney waste product.,Low.,Raised — kidneys may be under strain or you may be dehydrated.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Uric Acid,,,mg/dl,mgdl,any,18,120,3.5,7.2,0.5,20,A waste product that can collect in joints.,Low.,"High uric acid can cause gout — sudden painful swelling, often in the big toe.",IM Smrti v1 (adult generic - NEEDS REVIEW)
SGPT (ALT),,,u/l,iu/l|ul,any,18,120,7,56,1,3000,A liver enzyme — shows how the liver is doing.,,"Raised liver enzyme. Common causes include fatty liver, alcohol or medicines.",IM Smrti v1 (adult generic - NEEDS REVIEW)
